,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
0,500002,ABB,ABB India Limited,Active,A ,2.0,INE117A01022,Heavy Electrical Equipment,Equity
1,500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.0,INE208C01025,Oil Marketing &amp; Distribution,Equity
5,500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Auto Parts &amp; Equipment,Equity
6,500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.0,INE001A01036,Housing Finance ,Equity
8,500013,ANSALAPI,ANSAL PROPERTIES &amp; INFRASTRUCTURE LTD.,Active,B ,5.0,INE436A01026,Realty,Equity
13,500020,BOMDYEING,BOMBAY DYEING &amp; MFG.CO.LTD.,Active,A ,2.0,INE032A01023,Textiles,Equity
15,500023,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.0,INE363A01022,Hotels,Equity
16,500024,ASSAMCO,Assam Company (India) Limited,Active,T ,1.0,INE442A01024,Tea &amp; Coffee,Equity
18,500027,ATUL,ATUL LTD.,Active,A ,10.0,INE100A01010,Agrochemicals,Equity
19,500028,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.0,INE447A01015,Construction &amp; Engineering,Equity
20,500029,AUTOLITIND,AUTOLITE (INDIA) LTD.,Active,B ,10.0,INE448A01013,Auto Parts &amp; Equipment,Equity
22,500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.0,INE193E01025,Household Appliances,Equity
23,500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,B ,1.0,INE306A01021,Sugar,Equity
24,500033,FORCEMOT,FORCE MOTORS LTD.-$,Active,B ,10.0,INE451A01017,Cars &amp; Utility Vehicles,Equity
25,500034,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.0,INE296A01024,Finance (including NBFCs),Equity
28,500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.0,INE119A01028,Sugar,Equity
29,500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.0,INE213C01025,Auto Parts &amp; Equipment,Equity
30,500040,CENTURYTEX,CENTURY TEXTILES &amp; INDUSTRIES LTD.,Active,A ,10.0,INE055A01016,Cement &amp; Cement Products,Equity
31,500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,B ,10.0,INE459A01010,Sugar,Equity
32,500042,BASF,BASF INDIA LTD.,Active,B ,10.0,INE373A01013,Specialty Chemicals,Equity
33,500043,BATAINDIA,BATA INDIA LTD.,Active,A ,5.0,INE176A01028,Footwear,Equity
38,500048,BEML,BEML LTD.,Active,A ,10.0,INE258A01016,Commercial Vehicles,Equity
